content,content_en,compound_score,vader_norm,vader_label,score,afinn_norm,afinn_label,polarity_score,textblob_norm,textblob_label,avg_score,soft_voting_label,avg_norm,sv_label_norm1,sv_label_norm2,sv_label_norm3,sv_label_norm4,sv_label_norm5
murah dan tepat waktu jg bnyak promo,cheap and on time also many promos,0.0,5.0,0,0.0,5.0,0,0.45,7.25,1,0.15,1,5.75,1,0,0,0,0
bagus kadang ada kendala juga,good sometimes there are obstacles too,0.0772,5.385999999999999,1,1.0,5.294117647058823,1,0.32499999999999996,6.625,1,0.4674,1,5.768372549019607,1,0,0,0,0
Telah lama saya menggunakan Traveloka terutama untuk pemesanan tiket pesawat Surabaya-Balikpapan dan sebaliknya. Keberadaannya sangat membantu.,"I have been using Traveloka for a long time, especially for booking flight tickets for Surabaya-Balikpapan and vice versa. Its existence is very helpful.",0.4754,7.377000000000001,1,2.0,5.588235294117647,1,0.05000000000000001,5.25,1,0.8418,1,6.071745098039216,1,1,1,0,0
"Ada limit tapi tidak bisa digunakan, hmmm","There is a limit but it cannot be used, hmmm",0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
Oke,Oke,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
puas,satisfied,0.4215,7.1075,1,2.0,5.588235294117647,1,0.5,7.5,1,0.9738333333333333,1,6.731911764705882,1,1,1,1,1
fake hotel nya,fake hotel new,-0.4767,2.6165,-1,-3.0,4.117647058823529,-1,-0.18181818181818182,4.090909090909091,-1,-1.2195060606060606,-1,3.6083520499108737,-1,-1,-1,-1,0
Mudah dan cepat,Easy and fast,0.4404,7.202,1,1.0,5.294117647058823,1,0.31666666666666665,6.583333333333333,1,0.5856888888888888,1,6.359816993464052,1,1,1,1,0
bayar cicilan lancar malah d bekuin hahaha oke klo gitu mainnya 😉,paying installments smoothly even frozen hahaha okay if so play 😉,0.8016,9.008000000000001,1,3.0,5.882352941176471,1,0.3666666666666667,6.833333333333334,1,1.3894222222222223,1,7.241228758169935,1,1,1,1,1
"kenyamanan bus, keramahn supir","bus comfort, driver friendliness",0.6705,8.352500000000001,1,4.0,6.176470588235294,1,0.0,5.0,0,1.5568333333333333,1,6.509656862745099,1,1,1,1,1
"murah,mudah, cepat.mantap","cheap, easy, fast. great",0.7906,8.953,1,4.0,6.176470588235294,1,0.45833333333333337,7.291666666666668,1,1.7496444444444441,1,7.473712418300654,1,1,1,1,1
mantap.. cepat,steady... fast,0.0,5.0,0,0.0,5.0,0,0.18333333333333335,5.916666666666667,1,0.061111111111111116,1,5.305555555555556,0,0,0,0,0
"mantap sekali, 3 tahun sudah langganan terimakasih Traveloka","very good, 3 years already subscribed thanks Traveloka",0.7264,8.632,1,5.0,6.470588235294118,1,0.5549999999999999,7.7749999999999995,1,2.0938,1,7.625862745098039,1,1,1,1,1
"Traveloka,saya mengajukan refun dri(1)bulan yang lalu, tapi uang sya belum di kembalikan jg, tambah buruk trafel nya","Traveloka, I submitted a refund from (1) month ago, but my money has not been returned yet, the trafel is getting worse.",-0.631,1.845,-1,-3.0,4.117647058823529,-1,-0.4,3.0,-1,-1.3436666666666668,-1,2.9875490196078425,-1,-1,-1,-1,-1
"Scam banget traveloka ini. bayar hotel pake tpaylater cuma 1 bulan. tiba2 di sistem berubah jadi 12 bulan!!! CS jawaban sangat lama dan lambat. Tidak bisa menjawab permasalahan. Jawab pertanyaan saya dengan perkiraan ""sepertinya"". Kalian ga punya SOP kah?? So shame 👎","What a scam this traveloka is. paid for the hotel using tpaylater for only 1 month. suddenly the system changed to 12 months!!! CS answers very long and slow. Can't answer the problem. Answer my question with an approximate ""I think"". You guys don't have SOP, do you? So shame 👎",-0.8079,0.9605000000000002,-1,-6.0,3.2352941176470584,-1,-0.15300000000000002,4.234999999999999,-1,-2.3203,-1,2.810264705882352,-1,-1,-1,-1,-1
layanan cepat dan mudah,quick and easy service,0.4404,7.202,1,1.0,5.294117647058823,1,0.3833333333333333,6.916666666666666,1,0.6079111111111111,1,6.4709281045751625,1,1,1,1,0
"kecewa dengan pelayanannya, saya minta refund tidak dikembalikan dan proses ribet, bukan masalah nominal, tapi kesalahan dari pihak anda, tapi kami sebagai pelanggan yang terbebani dan kehilangan dana, cukup sebatas ini saja untuk pemesanan tiket disini saya kecewa, saya kedepannya lebih baik pindah ke aplikasi sebelah saja. terimakasih","disappointed with the service, I asked for a refund not returned and the process is complicated, not a nominal problem, but an error from your side, but we as customers who are burdened and lose funds, just this much for booking tickets here I am disappointed, I'm better off moving to the next application in the future. thank you.",-0.845,0.7750000000000001,-1,-6.0,3.2352941176470584,-1,-0.18571428571428572,4.071428571428571,-1,-2.3435714285714284,-1,2.69390756302521,-1,-1,-1,-1,-1
2 bulan terahir ke na downgrade sama aplikasi ini paylaternya. saya gak pernah telat bayar cuma kadang pakai dari 50 ke 35 hari ini ke 25. Agak Sampah juga sistemnya.,The last 2 months to na downgrade with this paylater application. I never pay late but sometimes use from 50 to 35 today to 25. It's a bit rubbish the system too.,0.0382,5.191,0,-1.0,4.705882352941177,-1,-0.15,4.25,-1,-0.3706,-1,4.715627450980392,0,-1,0,0,0
sudah sering pakai aplikasi ini tapi belum pernah merasakan diskon nya.,I've used this app many times but never experienced the discount.,0.0,5.0,0,0.0,5.0,0,0.04999999999999999,5.25,1,0.016666666666666663,1,5.083333333333333,0,0,0,0,0
"Traveloka memang mantap, mempermudah perjalanan dan juga pembelian tiket","Traveloka is indeed great, making it easier to travel and also purchase tickets",0.7845,8.9225,1,3.0,5.882352941176471,1,0.8,9.0,1,1.5281666666666667,1,7.9349509803921565,1,1,1,1,1
mantab,mantab,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
semuanya kena pajak dari tiket Ampe tiba di rumah😔😔😔,everything is taxable from the ticket Ampe arrives home😔😔😔,0.2263,6.1315,1,0.0,5.0,0,0.0,5.0,0,0.07543333333333334,1,5.377166666666667,0,0,0,0,0
beli tiket sewaktu waktu mudah sekali.,It's easy to buy tickets at any time.,0.4404,7.202,1,1.0,5.294117647058823,1,0.43333333333333335,7.166666666666667,1,0.6245777777777778,1,6.554261437908497,1,1,1,1,1
nice mudah dan kapansaja dimana saja,nice easy and anywhere,0.6908,8.453999999999999,1,4.0,6.176470588235294,1,0.5166666666666666,7.583333333333333,1,1.7358222222222224,1,7.404601307189542,1,1,1,1,1
"memudahkan tuk merencanakan bepergian, baik tuk bisnis, wisata bersama keluarga atau lainnya","makes it easy to plan a trip, whether it's for business, travel with family or others",0.4404,7.202,1,1.0,5.294117647058823,1,0.43333333333333335,7.166666666666667,1,0.6245777777777778,1,6.554261437908497,1,1,1,1,1
sangat membantu dlm pesan hotel dan apartemen,very helpful in booking hotels and apartments,0.4754,7.377000000000001,1,2.0,5.588235294117647,1,0.2,6.0,1,0.8918,1,6.321745098039216,1,1,1,1,0
punya sy gk bisa cari tiket pesawat kenapappppppliiiii,"I can't find airplane tickets, whyappppppliiiii",0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
pelayanan cepat n praktis,fast and practical service,0.0,5.0,0,0.0,5.0,0,0.2,6.0,1,0.06666666666666667,1,5.333333333333333,0,0,0,0,0
"Traveloka memang sangat baik untuk keperluan hotel, naik kereta, naik pesawat terbang trims 🙏🙏🙏","Traveloka is indeed very good for hotel needs, train rides, airplane rides thanks 🙏🙏🙏🙏",0.7264,8.632,1,5.0,6.470588235294118,1,0.5549999999999999,7.7749999999999995,1,2.0938,1,7.625862745098039,1,1,1,1,1
membantu,help,0.4019,7.009499999999999,1,2.0,5.588235294117647,1,0.0,5.0,0,0.8006333333333333,1,5.865911764705882,1,1,0,0,0
"aplikasi jebud....parah beli tiket pesawat harga 2 jt lebih pas di refund malah gak bisa,,, ilang duwitnya... aplikasi asuuuuu","jebud application.... worst buy airplane tickets for more than 2 million when refunded can't even,,, lost the money ... application asuuuuu",-0.4833,2.5835,-1,-6.0,3.2352941176470584,-1,-0.25,3.75,-1,-2.2444333333333333,-1,3.1895980392156864,-1,-1,-1,-1,-1
"Saya kasih bintang 3 dulu untuk app pembaruan. Saya bingung kenapa harga tiket yang ingin saya beli bisa menjadi 2x lipat saat final transaksi ya. Misalnya harga tiket 900rb bisa menjadi 1,7jt saat checkout. Tolong dijelaskan, saya merasa sangat dirugikan klu transaksi nya diluar hitungan seperti itu.","I give 3 stars first for the update app. I'm confused why the price of the ticket I want to buy can double during the final transaction. For example, the ticket price of 900k can become 1.7m at checkout. Please explain, I feel very disadvantaged if the transaction is out of calculation like that.",-0.0498,4.751,0,0.0,5.0,0,0.009999999999999998,5.05,1,-0.013266666666666668,-1,4.933666666666667,0,0,0,0,0
"penipuan pihal traveloka, limit dan pengajuan paylater disetujui tapi tidak bisa digunakan","traveloka scam, limit and paylater application approved but cannot be used",-0.1154,4.423,-1,0.0,5.0,0,0.0,5.0,0,-0.03846666666666667,-1,4.807666666666667,0,0,0,0,0
keep up for the job well done,keep up for the job well done,0.2732,6.3660000000000005,1,0.0,5.0,0,0.0,5.0,0,0.09106666666666667,1,5.455333333333333,0,0,0,0,0
Traveloka memang top jd lebih mudah untuk urusan bepergian responnya cepat,Traveloka is indeed top so it is easier for traveling affairs fast response,0.5945,7.9725,1,2.0,5.588235294117647,1,0.35,6.75,1,0.9815,1,6.770245098039216,1,1,1,1,1
traveloka terbaik,best traveloka,0.6369,8.1845,1,3.0,5.882352941176471,1,1.0,10.0,1,1.5456333333333332,1,8.022284313725491,1,1,1,1,1
siap,ready,0.3612,6.806,1,0.0,5.0,0,0.2,6.0,1,0.1870666666666667,1,5.935333333333333,1,1,0,0,0
Pelayanan cepat.,Fast service.,0.0,5.0,0,0.0,5.0,0,0.2,6.0,1,0.06666666666666667,1,5.333333333333333,0,0,0,0,0
g😝``¢¶¶`🤩🥲😜😢😜z#wz🙏,g😝``¢¶¶`🤩🥲😜😢😜z#wz🙏,-0.4767,2.6165,-1,0.0,5.0,0,0.0,5.0,0,-0.1589,-1,4.2055,-1,-1,0,0,0
top,top,0.2023,6.0115,1,2.0,5.588235294117647,1,0.5,7.5,1,0.9007666666666667,1,6.366578431372549,1,1,1,1,0
mudah dan murah,easy and cheap,0.4404,7.202,1,1.0,5.294117647058823,1,0.4166666666666667,7.083333333333334,1,0.6190222222222223,1,6.52648366013072,1,1,1,1,1
puasssss,puasssss,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
saat ini ok lah👍,currently ok👍,0.296,6.48,1,0.0,5.0,0,0.0,5.0,0,0.09866666666666667,1,5.493333333333333,0,0,0,0,0
"Aplikasi Jahat, saya tidak cari aplikasi ini, saya ketik 5+ kali munculnya traveloka melulu, sangat nengganggu, saya sudah lama berlanghanan traveloka, kali ini saya sangat kecewa, karena mengganggu pencarian saya.","Evil application, I was not looking for this application, I typed 5+ times the traveloka popped up first, very annoying, I have been using traveloka for a long time, this time I am very disappointed, because it interferes with my search.",-0.8953,0.5235000000000001,-1,-7.0,2.9411764705882355,-1,-0.555,2.2249999999999996,-1,-2.8167666666666666,-1,1.8965588235294117,-1,-1,-1,-1,-1
sangat mudah,very easy,0.4927,7.463500000000001,1,1.0,5.294117647058823,1,0.5633333333333334,7.816666666666667,1,0.6853444444444445,1,6.858094771241831,1,1,1,1,1
"kenapa Tpaylater saya tidak bisa digunakan ya, padahal pembyaran selalu jauh sebelum jatuh tempo","Why can't I use my Tpaylater, even though the payment is always far before the due date?",0.0,5.0,0,0.0,5.0,0,-0.012499999999999997,4.9375,-1,-0.004166666666666666,-1,4.979166666666667,0,0,0,0,0
"Paylater saya di blokir, padahal saya tidak ada hutang cicilan. Malah saya sdh melunasi lebih awal.","My paylater was blocked, even though I have no installment debt. In fact, I have paid off early.",-0.2937,3.5314999999999994,-1,-4.0,3.8235294117647056,-1,0.1,5.5,1,-1.3979000000000001,-1,4.285009803921568,-1,-1,0,0,0
"Tampilan pilihan asuransi perjalanan pesawat terbang yang tidak terlihat dengan jelas sehingga kalo tidak jeli pada saat akan membayar, bisa terperangkap dengan membeli asuransi perjalanan. Sangat mengecewakan setelah bertahun-tahun menjadi pelanggan setia Traveloka.","The display of airplane travel insurance options is not clearly visible so if you are not observant at the time of payment, you can be trapped by buying travel insurance. Very disappointing after years of being a loyal Traveloka customer.",-0.7228,1.3860000000000001,-1,0.0,5.0,0,-0.1741666666666667,4.129166666666666,-1,-0.2989888888888889,-1,3.5050555555555554,-1,-1,-1,-1,0
Mantap Banget Haaaanyiiiiiing 🤣 Saya Suka Saya Suka,Very good Haaaanyiiiiiing 🤣 I like it I like it,0.8858,9.429,1,7.0,7.0588235294117645,1,0.9099999999999999,9.549999999999999,1,2.9319333333333333,1,8.67927450980392,1,1,1,1,1
Recommended,Recommended,0.2023,6.0115,1,2.0,5.588235294117647,1,0.0,5.0,0,0.7341000000000001,1,5.533245098039216,1,0,0,0,0
cepat & aman,fast & safe,0.4404,7.202,1,1.0,5.294117647058823,1,0.35,6.75,1,0.5968,1,6.415372549019608,1,1,1,1,0
"Traveloka is very good aplikasi tapi kenapa saya tidak bisa menggunakan Paylater Traveloka? untuk semua transportasi sangat bagus dan easy untuk booking di Traveloka tanpa ribet. 100% Rekomended and good Aplikasi 👍🏻. Next tingkatkan / upgrade aplikasinya lagi. salam, Rizal Pratama Travelers","Traveloka is very good application but why can't I use Traveloka Paylater? for all transportation is very good and easy to book at Traveloka without complicated. 100% Recommended and good Application 👍🏻. Next improve / upgrade the application again. greetings, Rizal Pratama Travelers",0.9688,9.844,1,16.0,9.705882352941176,1,0.40888888888888886,7.044444444444444,1,5.792562962962964,1,8.86477559912854,1,1,1,1,1
Tiket lengkap dan mudah,Complete and easy ticketing,0.4404,7.202,1,1.0,5.294117647058823,1,0.26666666666666666,6.333333333333333,1,0.5690222222222222,1,6.276483660130719,1,1,1,1,0
saya gak ad Tagihan di spaylater malah spaylater saya di blokir apa masalah nya. saya juga gak tau kasih dong penjelasannya,"I don't have a bill on the spaylater, instead my spaylater is blocked, what's the problem. I also don't know, give me an explanation.",-0.5859,2.0705,-1,-3.0,4.117647058823529,-1,0.0,5.0,0,-1.1953,-1,3.729382352941176,-1,-1,-1,-1,0
sangat muda dan memuas,very young and satisfying,0.5046,7.523,1,0.0,5.0,0,0.315,6.574999999999999,1,0.27320000000000005,1,6.366,1,1,1,1,0
sering sering buka harga promo,often open promo prices,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
Mantap mudah cepat dan murah,Steady easy fast and cheap,0.4404,7.202,1,1.0,5.294117647058823,1,0.30000000000000004,6.5,1,0.5801333333333333,1,6.332039215686275,1,1,1,1,0
cukup memudahkan,easy enough,0.4404,7.202,1,1.0,5.294117647058823,1,0.21666666666666667,6.083333333333334,1,0.5523555555555556,1,6.193150326797387,1,1,1,0,0
mantaaap traveloka,manta monkey traveloka,0.0,5.0,0,0.0,5.0,0,-0.05,4.75,-1,-0.016666666666666666,-1,4.916666666666667,0,0,0,0,0
"bersyukur dapet limit besar dari traveloka,bisa booking hotel + beli tiket pesawat gak perlu pusing pusing lagi.cicilan bisa sampe 12 kali.. jadi nya lebih ringan.. saran saya tambahin lagi fitur untuk tiket kapal laut seperti kapal pelni yg bisa bayar pake payletter traveloka","grateful to get a large limit from traveloka, can book hotels + buy plane tickets do not need to bother anymore. installments can be up to 12 times .. so it's lighter.. my suggestion is to add more features for ship tickets such as pelni ships that can pay using traveloka payletter.",0.5627,7.8134999999999994,1,0.0,5.0,0,0.2380952380952381,6.190476190476191,1,0.266931746031746,1,6.33465873015873,1,1,1,1,0
bagus membantu aktifitas,good for helping with activities,0.6249,8.1245,1,5.0,6.470588235294118,1,0.7,8.5,1,2.1083000000000003,1,7.698362745098039,1,1,1,1,1
semoga lebih baik dan selalu menjadi yang terbaik,may it be better and always be the best,0.7964,8.982,1,5.0,6.470588235294118,1,0.75,8.75,1,2.1821333333333333,1,8.067529411764705,1,1,1,1,1
terimakasih,Thank you,0.3612,6.806,1,2.0,5.588235294117647,1,0.0,5.0,0,0.7870666666666667,1,5.798078431372549,1,0,0,0,0
"semoga ada kejelasan,disaat customer refund untuk selanjutnya","hopefully there is clarity, when the customer refunds for the next time",0.6597,8.2985,1,4.0,6.176470588235294,1,0.0,5.0,0,1.5532333333333332,1,6.491656862745098,1,1,1,1,0
pengisian data ringkas dan cepat aman,fast and secure data entry,0.34,6.7,1,2.0,5.588235294117647,1,0.30000000000000004,6.5,1,0.8799999999999999,1,6.262745098039216,1,1,1,1,0
treveloka sangat membantu,treveloka is very helpful,0.4754,7.377000000000001,1,2.0,5.588235294117647,1,0.2,6.0,1,0.8918,1,6.321745098039216,1,1,1,1,0
layanan sangat bagus,very good service,0.4927,7.463500000000001,1,3.0,5.882352941176471,1,0.9099999999999999,9.549999999999999,1,1.4675666666666667,1,7.6319509803921575,1,1,1,1,1
sangat puas dan selalu cepat tanggap semoga kedepannya menjadi lebih baik lagi ☺,very satisfied and always quick to respond hopefully in the future it will be even better ☺,0.8932,9.466,1,6.0,6.764705882352942,1,0.37083333333333335,6.854166666666667,1,2.4213444444444447,1,7.69495751633987,1,1,1,1,1
Sangat membantu utk kita,Very helpful for us,0.4754,7.377000000000001,1,2.0,5.588235294117647,1,0.2,6.0,1,0.8918,1,6.321745098039216,1,1,1,1,0
sangat membantu saya,really helped me,0.0,5.0,0,0.0,5.0,0,0.2,6.0,1,0.06666666666666667,1,5.333333333333333,0,0,0,0,0
tampilan huruf aplikasi terlalu kabur. sehingga susah melihat.,"The app's font display is too blurry, making it difficult to see.",-0.4404,2.798,-1,-3.0,4.117647058823529,-1,-0.5,2.5,-1,-1.3134666666666666,-1,3.138549019607843,-1,-1,-1,-1,-1
Mantap,Mantap,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
kreen,kreen,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
setiap kendala dapat segera diselesaikan dengan baik dan CS nya ramah fast respon.. suka pake traveloka,every obstacle can be resolved immediately well and the CS is friendly fast response.. like using traveloka,0.7184,8.591999999999999,1,4.0,6.176470588235294,1,0.2875,6.4375,1,1.6686333333333332,1,7.068656862745097,1,1,1,1,1
easy for submit and process all transactions,easy for submit and process all transactions,0.4404,7.202,1,1.0,5.294117647058823,1,0.43333333333333335,7.166666666666667,1,0.6245777777777778,1,6.554261437908497,1,1,1,1,1
"layanan mantap, proses pemesanan mudah, refund gampang top deh","great service, easy order process, easy refund top deh",0.8934,9.467,1,7.0,7.0588235294117645,1,0.5416666666666667,7.708333333333334,1,2.8116888888888885,1,8.0780522875817,1,1,1,1,1
mudah terpercaya,easy to trust,0.7351,8.6755,1,2.0,5.588235294117647,1,0.43333333333333335,7.166666666666667,1,1.0561444444444446,1,7.143467320261437,1,1,1,1,1
gila bgt udah dilunasi eh tiba2 limit gabisa digunakan lagi.tau gitu mending galbay .percuma menyediakan tpaylatter,It's crazy how it's been paid off eh suddenly the limit can't be used anymore.know so mending galbay .useless providing tpaylatter,-0.6666,1.6670000000000003,-1,-4.0,3.8235294117647056,-1,-0.3,3.5,-1,-1.6555333333333333,-1,2.9968431372549023,-1,-1,-1,-1,-1
👍🏻👍🏻👍🏻👍🏻,👍🏻👍🏻👍🏻👍🏻,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
mantap 👍🤲,great 👍🤲,0.6249,8.1245,1,3.0,5.882352941176471,1,0.8,9.0,1,1.4749666666666668,1,7.6689509803921565,1,1,1,1,1
sagat baik,Very good,0.4927,7.463500000000001,1,3.0,5.882352941176471,1,0.9099999999999999,9.549999999999999,1,1.4675666666666667,1,7.6319509803921575,1,1,1,1,1
Aneh cek harga tiket di hp saya sama di hp istri beda harga. lucu aplicasix,Strange to check ticket prices on my cellphone and on my wife's cellphone at different prices. funny aplicasix,0.2732,6.3660000000000005,1,3.0,5.882352941176471,1,0.06666666666666667,5.333333333333333,1,1.113288888888889,1,5.860562091503268,1,1,0,0,0
pelayanan sangat baik dan cepat the best traveloka Indonesia,very good and fast service the best traveloka Indonesia,0.8122,9.061,1,6.0,6.764705882352942,1,0.7033333333333333,8.516666666666666,1,2.5051777777777775,1,8.114124183006536,1,1,1,1,1
lebih mudah dan sangat membantu,easier and very helpful,0.7089,8.5445,1,2.0,5.588235294117647,1,0.2,6.0,1,0.9696333333333333,1,6.710911764705881,1,1,1,1,1
"over all bagus dan sangat membantu. Satu saja permintaan kami, kembalikan layanan pilih kursi mandiri saat check in maskapai, seperti dulu kala. traveloka the best","over all good and very helpful. Just one request, bring back the independent seat selection service during airline check-in, like it used to be. traveloka the best",0.9134,9.567,1,10.0,7.9411764705882355,1,0.38,6.8999999999999995,1,3.764466666666667,1,8.136058823529412,1,1,1,1,1
muda,changes,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
pemesanan tiket cepat,fast ticket booking,0.0,5.0,0,0.0,5.0,0,0.2,6.0,1,0.06666666666666667,1,5.333333333333333,0,0,0,0,0
mantaaap,mantaaap,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
nice aja,nice aja,0.4215,7.1075,1,3.0,5.882352941176471,1,0.6,8.0,1,1.3404999999999998,1,6.996617647058824,1,1,1,1,1
lambat membalas,slow to reply,0.0,5.0,0,0.0,5.0,0,-0.30000000000000004,3.5,-1,-0.10000000000000002,-1,4.5,-1,-1,0,0,0
jarang promo,rarely promo,0.0,5.0,0,0.0,5.0,0,0.3,6.5,1,0.09999999999999999,1,5.5,1,0,0,0,0
ternyata gw ga bisa reschedule dr aplikasinya. ga bisa d room yg sama. aneh. malah ada room kecil. udh gw klik pun malah error. lu maunya apasi ? dr hotel nya malah bisa. . kan yg penting gw bayar dan ga murah. banyak ngatur.,it turns out I can't reschedule from the app. it can't be in the same room. it's weird. there's even a small room. I clicked it and it was an error. what do you want? the hotel can do it. . the important thing is that I paid and it's not cheap. a lot of arrangements.,-0.3182,3.409,-1,-1.0,4.705882352941177,-1,-0.11000000000000001,4.45,-1,-0.4760666666666667,-1,4.188294117647058,-1,-1,0,0,0
bagus dan cepat pokoknya mantap,good and fast anyway steady,0.4404,7.202,1,3.0,5.882352941176471,1,0.35555555555555557,6.777777777777779,1,1.2653185185185185,1,6.620710239651416,1,1,1,1,1
"Aplikasi jelek, tidak bisa refund bila Salah beli, Dimana tanggal yg di beli tidal sesuai, lalu beli secara debit maka hasilnya tidak bisa refund, hati hati.","Bad application, cannot be refunded if the wrong purchase, where the date purchased does not match, then buy by debit then the result cannot be refunded, be careful.",-0.7184,1.408,-1,-3.0,4.117647058823529,-1,-0.4333333333333333,2.833333333333333,-1,-1.383911111111111,-1,2.786326797385621,-1,-1,-1,-1,-1
Pesan lewat traveloka karena trust malah dialihkan untuk memesan hotel yang dinaungi OYO. akhirnya kebeneran bermasalah dan merema tidak mau tau. kacau,Book through traveloka because trust is instead diverted to book a hotel under OYO. finally the truth is problematic and merema doesn't want to know. messed up.,0.0201,5.1005,0,0.0,5.0,0,0.0,5.0,0,0.0067,1,5.0335,0,0,0,0,0
cepat dan puas,fast and satisfied,0.4215,7.1075,1,2.0,5.588235294117647,1,0.35,6.75,1,0.9238333333333334,1,6.481911764705882,1,1,1,1,0
kerennnn slalu Traveloka 👍👍👍👍👍,kerennnn slalu Traveloka 👍👍👍👍👍,0.0,5.0,0,0.0,5.0,0,0.0,5.0,0,0.0,0,5.0,0,0,0,0,0
sangat mempermudah pencarian dan pemesanan,greatly simplifies searching and ordering,0.0,5.0,0,0.0,5.0,0,0.8,9.0,1,0.26666666666666666,1,6.333333333333333,1,1,1,1,0
"aplikasi tiba"" GK konek padahal mau bayar paylater.... gimana ini bayar ya","the application suddenly ""GK connects even though you want to pay paylater.... how to pay yes",0.296,6.48,1,0.0,5.0,0,0.0,5.0,0,0.09866666666666667,1,5.493333333333333,0,0,0,0,0
Gila baru daftar aja udah banyak bug nya eror.,It's crazy how many bugs and errors just registered.,-0.5859,2.0705,-1,-4.0,3.8235294117647056,-1,-0.04999999999999999,4.75,-1,-1.5453,-1,3.5480098039215684,-1,-1,-1,-1,0
Terbaik,Best,0.6369,8.1845,1,3.0,5.882352941176471,1,1.0,10.0,1,1.5456333333333332,1,8.022284313725491,1,1,1,1,1
"Aplikasi ini sangat merugikan kami, mohon tidak digunakan aplikasi ini, sudah lebih dari 5 hari dana kami tidak direfund, sementara pihak hotel menyatakan hotel penuh","This application is very detrimental to us, please do not use this application, it has been more than 5 days our funds have not been refunded, while the hotel states the hotel is full",0.3182,6.591,1,1.0,5.294117647058823,1,0.3499999999999999,6.749999999999999,1,0.5560666666666666,1,6.211705882352941,1,1,1,1,0
baik sekali,Very good,0.4927,7.463500000000001,1,3.0,5.882352941176471,1,0.9099999999999999,9.549999999999999,1,1.4675666666666667,1,7.6319509803921575,1,1,1,1,1
