content,cleaning,case_folding,hasil_normalisasi,token,stopword_removal,stemming
Mudah dan cepat,Mudah dan cepat,mudah dan cepat,mudah dan cepat,"['mudah', 'dan', 'cepat']","['mudah', 'cepat']",mudah cepat
bayar cicilan lancar malah d bekuin hahaha oke klo gitu mainnya 😉,bayar cicilan lancar malah d bekuin hahaha oke klo gitu mainnya ,bayar cicilan lancar malah d bekuin hahaha oke klo gitu mainnya ,bayar cicilan lancar malah di bekuin hahaha oke kalau begitu mainnya,"['bayar', 'cicilan', 'lancar', 'malah', 'di', 'bekuin', 'hahaha', 'oke', 'kalau', 'begitu', 'mainnya']","['bayar', 'cicilan', 'lancar', 'bekuin', 'hahaha', 'oke', 'mainnya']",bayar cicil lancar bekuin hahaha oke main
"kenyamanan bus, keramahn supir",kenyamanan bus  keramahn supir,kenyamanan bus  keramahn supir,kenyamanan bus keramahn supir,"['kenyamanan', 'bus', 'keramahn', 'supir']","['kenyamanan', 'bus', 'keramahn', 'supir']",nyaman bus keramahn supir
"murah,mudah, cepat.mantap",murah mudah  cepat mantap,murah mudah  cepat mantap,murah mudah cepat mantap,"['murah', 'mudah', 'cepat', 'mantap']","['murah', 'mudah', 'cepat', 'mantap']",murah mudah cepat mantap
mantap.. cepat,mantap   cepat,mantap   cepat,mantap cepat,"['mantap', 'cepat']","['mantap', 'cepat']",mantap cepat
"mantap sekali, 3 tahun sudah langganan terimakasih Traveloka",mantap sekali   tahun sudah langganan terimakasih Traveloka,mantap sekali   tahun sudah langganan terimakasih traveloka,mantap sekali tahun sudah langganan terima kasih traveloka,"['mantap', 'sekali', 'tahun', 'sudah', 'langganan', 'terima', 'kasih', 'traveloka']","['mantap', 'langganan', 'terima', 'kasih', 'traveloka']",mantap langgan terima kasih traveloka
"Traveloka,saya mengajukan refun dri(1)bulan yang lalu, tapi uang sya belum di kembalikan jg, tambah buruk trafel nya",Traveloka saya mengajukan refun dri  bulan yang lalu  tapi uang sya belum di kembalikan jg  tambah buruk trafel nya,traveloka saya mengajukan refun dri  bulan yang lalu  tapi uang sya belum di kembalikan jg  tambah buruk trafel nya,traveloka saya mengajukan refun dari bulan yang lalu tapi uang saya belum di kembalikan juga tambah buruk travel nya,"['traveloka', 'saya', 'mengajukan', 'refun', 'dari', 'bulan', 'yang', 'lalu', 'tapi', 'uang', 'saya', 'belum', 'di', 'kembalikan', 'juga', 'tambah', 'buruk', 'travel', 'nya']","['traveloka', 'mengajukan', 'refun', 'uang', 'kembalikan', 'buruk', 'travel', 'nya']",traveloka aju refun uang kembali buruk travel nya
"Scam banget traveloka ini. bayar hotel pake tpaylater cuma 1 bulan. tiba2 di sistem berubah jadi 12 bulan!!! CS jawaban sangat lama dan lambat. Tidak bisa menjawab permasalahan. Jawab pertanyaan saya dengan perkiraan ""sepertinya"". Kalian ga punya SOP kah?? So shame 👎",Scam banget traveloka ini  bayar hotel pake tpaylater cuma  bulan  tiba di sistem berubah jadi  bulan    CS jawaban sangat lama dan lambat  Tidak bisa menjawab permasalahan  Jawab pertanyaan saya dengan perkiraan  sepertinya   Kalian ga punya SOP kah   So shame ,scam banget traveloka ini  bayar hotel pake tpaylater cuma  bulan  tiba di sistem berubah jadi  bulan    cs jawaban sangat lama dan lambat  tidak bisa menjawab permasalahan  jawab pertanyaan saya dengan perkiraan  sepertinya   kalian ga punya sop kah   so shame ,scam banget traveloka ini bayar hotel pakai tpaylater cuma bulan tiba di sistem berubah jadi bulan cs jawaban sangat lama dan lambat tidak bisa menjawab permasalahan jawab pertanyaan saya dengan perkiraan sepertinya kalian tidak punya sop kah sok shame,"['scam', 'banget', 'traveloka', 'ini', 'bayar', 'hotel', 'pakai', 'tpaylater', 'cuma', 'bulan', 'tiba', 'di', 'sistem', 'berubah', 'jadi', 'bulan', 'cs', 'jawaban', 'sangat', 'lama', 'dan', 'lambat', 'tidak', 'bisa', 'menjawab', 'permasalahan', 'jawab', 'pertanyaan', 'saya', 'dengan', 'perkiraan', 'sepertinya', 'kalian', 'tidak', 'punya', 'sop', 'kah', 'sok', 'shame']","['scam', 'banget', 'traveloka', 'bayar', 'hotel', 'pakai', 'tpaylater', 'sistem', 'berubah', 'cs', 'lambat', 'permasalahan', 'perkiraan', 'sop', 'kah', 'sok', 'shame']",scam banget traveloka bayar hotel pakai tpaylater sistem ubah cs lambat masalah kira sop kah sok shame
layanan cepat dan mudah,layanan cepat dan mudah,layanan cepat dan mudah,layanan cepat dan mudah,"['layanan', 'cepat', 'dan', 'mudah']","['layanan', 'cepat', 'mudah']",layan cepat mudah
"kecewa dengan pelayanannya, saya minta refund tidak dikembalikan dan proses ribet, bukan masalah nominal, tapi kesalahan dari pihak anda, tapi kami sebagai pelanggan yang terbebani dan kehilangan dana, cukup sebatas ini saja untuk pemesanan tiket disini saya kecewa, saya kedepannya lebih baik pindah ke aplikasi sebelah saja. terimakasih",kecewa dengan pelayanannya  saya minta refund tidak dikembalikan dan proses ribet  bukan masalah nominal  tapi kesalahan dari pihak anda  tapi kami sebagai pelanggan yang terbebani dan kehilangan dana  cukup sebatas ini saja untuk pemesanan tiket disini saya kecewa  saya kedepannya lebih baik pindah ke aplikasi sebelah saja  terimakasih,kecewa dengan pelayanannya  saya minta refund tidak dikembalikan dan proses ribet  bukan masalah nominal  tapi kesalahan dari pihak anda  tapi kami sebagai pelanggan yang terbebani dan kehilangan dana  cukup sebatas ini saja untuk pemesanan tiket disini saya kecewa  saya kedepannya lebih baik pindah ke aplikasi sebelah saja  terimakasih,kecewa dengan pelayanannya saya meminta refund tidak dikembalikan dan proses ribet bukan masalah nominal tapi kesalahan dari pihak anda tapi kami sebagai pelanggan yang terbebani dan kehilangan dana cukup sebatas ini saja untuk pemesanan tiket disini saya kecewa saya kedepannya lebih baik pindah ke aplikasi sebelah saja terima kasih,"['kecewa', 'dengan', 'pelayanannya', 'saya', 'meminta', 'refund', 'tidak', 'dikembalikan', 'dan', 'proses', 'ribet', 'bukan', 'masalah', 'nominal', 'tapi', 'kesalahan', 'dari', 'pihak', 'anda', 'tapi', 'kami', 'sebagai', 'pelanggan', 'yang', 'terbebani', 'dan', 'kehilangan', 'dana', 'cukup', 'sebatas', 'ini', 'saja', 'untuk', 'pemesanan', 'tiket', 'disini', 'saya', 'kecewa', 'saya', 'kedepannya', 'lebih', 'baik', 'pindah', 'ke', 'aplikasi', 'sebelah', 'saja', 'terima', 'kasih']","['kecewa', 'pelayanannya', 'refund', 'dikembalikan', 'proses', 'ribet', 'nominal', 'kesalahan', 'pelanggan', 'terbebani', 'kehilangan', 'dana', 'sebatas', 'pemesanan', 'tiket', 'kecewa', 'kedepannya', 'pindah', 'aplikasi', 'sebelah', 'terima', 'kasih']",kecewa layan refund kembali proses ribet nominal salah langgan beban hilang dana batas mesan tiket kecewa depan pindah aplikasi belah terima kasih
2 bulan terahir ke na downgrade sama aplikasi ini paylaternya. saya gak pernah telat bayar cuma kadang pakai dari 50 ke 35 hari ini ke 25. Agak Sampah juga sistemnya., bulan terahir ke na downgrade sama aplikasi ini paylaternya  saya gak pernah telat bayar cuma kadang pakai dari  ke  hari ini ke   Agak Sampah juga sistemnya , bulan terahir ke na downgrade sama aplikasi ini paylaternya  saya gak pernah telat bayar cuma kadang pakai dari  ke  hari ini ke   agak sampah juga sistemnya ,bulan terahir ke nya downgrade sama aplikasi ini paylaternya saya tidak pernah telat bayar cuma kadang pakai dari ke hari ini ke agak sampah juga sistemnya,"['bulan', 'terahir', 'ke', 'nya', 'downgrade', 'sama', 'aplikasi', 'ini', 'paylaternya', 'saya', 'tidak', 'pernah', 'telat', 'bayar', 'cuma', 'kadang', 'pakai', 'dari', 'ke', 'hari', 'ini', 'ke', 'agak', 'sampah', 'juga', 'sistemnya']","['terahir', 'nya', 'downgrade', 'aplikasi', 'paylaternya', 'telat', 'bayar', 'kadang', 'pakai', 'sampah', 'sistemnya']",terahir nya downgrade aplikasi paylaternya telat bayar kadang pakai sampah sistem
sudah sering pakai aplikasi ini tapi belum pernah merasakan diskon nya.,sudah sering pakai aplikasi ini tapi belum pernah merasakan diskon nya ,sudah sering pakai aplikasi ini tapi belum pernah merasakan diskon nya ,sudah sering pakai aplikasi ini tapi belum pernah merasakan diskon nya,"['sudah', 'sering', 'pakai', 'aplikasi', 'ini', 'tapi', 'belum', 'pernah', 'merasakan', 'diskon', 'nya']","['pakai', 'aplikasi', 'merasakan', 'diskon', 'nya']",pakai aplikasi rasa diskon nya
"Traveloka memang mantap, mempermudah perjalanan dan juga pembelian tiket",Traveloka memang mantap  mempermudah perjalanan dan juga pembelian tiket,traveloka memang mantap  mempermudah perjalanan dan juga pembelian tiket,traveloka memang mantap mempermudah perjalanan dan juga pembelian tiket,"['traveloka', 'memang', 'mantap', 'mempermudah', 'perjalanan', 'dan', 'juga', 'pembelian', 'tiket']","['traveloka', 'mantap', 'mempermudah', 'perjalanan', 'pembelian', 'tiket']",traveloka mantap mudah jalan beli tiket
mantab,mantab,mantab,mantap,['mantap'],['mantap'],mantap
semuanya kena pajak dari tiket Ampe tiba di rumah😔😔😔,semuanya kena pajak dari tiket Ampe tiba di rumah,semuanya kena pajak dari tiket ampe tiba di rumah,semuanya kena pajak dari tiket sampai tiba di rumah,"['semuanya', 'kena', 'pajak', 'dari', 'tiket', 'sampai', 'tiba', 'di', 'rumah']","['kena', 'pajak', 'tiket', 'rumah']",kena pajak tiket rumah
beli tiket sewaktu waktu mudah sekali.,beli tiket sewaktu waktu mudah sekali ,beli tiket sewaktu waktu mudah sekali ,beli tiket sewaktu waktu mudah sekali,"['beli', 'tiket', 'sewaktu', 'waktu', 'mudah', 'sekali']","['beli', 'tiket', 'mudah']",beli tiket mudah
nice mudah dan kapansaja dimana saja,nice mudah dan kapansaja dimana saja,nice mudah dan kapansaja dimana saja,nice mudah dan kapansaja dimana saja,"['nice', 'mudah', 'dan', 'kapansaja', 'dimana', 'saja']","['nice', 'mudah', 'kapansaja', 'dimana']",nice mudah kapansaja mana
"memudahkan tuk merencanakan bepergian, baik tuk bisnis, wisata bersama keluarga atau lainnya",memudahkan tuk merencanakan bepergian  baik tuk bisnis  wisata bersama keluarga atau lainnya,memudahkan tuk merencanakan bepergian  baik tuk bisnis  wisata bersama keluarga atau lainnya,memudahkan untuk merencanakan bepergian baik untuk bisnis wisata bersama keluarga atau lainnya,"['memudahkan', 'untuk', 'merencanakan', 'bepergian', 'baik', 'untuk', 'bisnis', 'wisata', 'bersama', 'keluarga', 'atau', 'lainnya']","['memudahkan', 'merencanakan', 'bepergian', 'bisnis', 'wisata', 'keluarga']",mudah rencana pergi bisnis wisata keluarga
sangat membantu dlm pesan hotel dan apartemen,sangat membantu dlm pesan hotel dan apartemen,sangat membantu dlm pesan hotel dan apartemen,sangat membantu dalam pesan hotel dan apartemen,"['sangat', 'membantu', 'dalam', 'pesan', 'hotel', 'dan', 'apartemen']","['membantu', 'pesan', 'hotel', 'apartemen']",bantu pesan hotel apartemen
punya sy gk bisa cari tiket pesawat kenapappppppliiiii,punya sy gk bisa cari tiket pesawat kenapappppppliiiii,punya sy gk bisa cari tiket pesawat kenapappppppliiiii,punya saya tidak bisa cari tiket pesawat kenapappppppliiiii,"['punya', 'saya', 'tidak', 'bisa', 'cari', 'tiket', 'pesawat', 'kenapappppppliiiii']","['cari', 'tiket', 'pesawat', 'kenapappppppliiiii']",cari tiket pesawat kenapappppppliiiii
pelayanan cepat n praktis,pelayanan cepat n praktis,pelayanan cepat n praktis,pelayanan cepat n praktis,"['pelayanan', 'cepat', 'n', 'praktis']","['pelayanan', 'cepat', 'n', 'praktis']",layan cepat n praktis
"Traveloka memang sangat baik untuk keperluan hotel, naik kereta, naik pesawat terbang trims 🙏🙏🙏",Traveloka memang sangat baik untuk keperluan hotel  naik kereta  naik pesawat terbang trims ,traveloka memang sangat baik untuk keperluan hotel  naik kereta  naik pesawat terbang trims ,traveloka memang sangat baik untuk keperluan hotel naik kereta naik pesawat terbang terima kasih,"['traveloka', 'memang', 'sangat', 'baik', 'untuk', 'keperluan', 'hotel', 'naik', 'kereta', 'naik', 'pesawat', 'terbang', 'terima', 'kasih']","['traveloka', 'keperluan', 'hotel', 'kereta', 'pesawat', 'terbang', 'terima', 'kasih']",traveloka perlu hotel kereta pesawat terbang terima kasih
membantu,membantu,membantu,membantu,['membantu'],['membantu'],bantu
"aplikasi jebud....parah beli tiket pesawat harga 2 jt lebih pas di refund malah gak bisa,,, ilang duwitnya... aplikasi asuuuuu",aplikasi jebud    parah beli tiket pesawat harga  jt lebih pas di refund malah gak bisa    ilang duwitnya    aplikasi asuuuuu,aplikasi jebud    parah beli tiket pesawat harga  jt lebih pas di refund malah gak bisa    ilang duwitnya    aplikasi asuuuuu,aplikasi jebud parah beli tiket pesawat harga juta lebih pas di refund malah tidak bisa hilang duitnya aplikasi asuuuuu,"['aplikasi', 'jebud', 'parah', 'beli', 'tiket', 'pesawat', 'harga', 'juta', 'lebih', 'pas', 'di', 'refund', 'malah', 'tidak', 'bisa', 'hilang', 'duitnya', 'aplikasi', 'asuuuuu']","['aplikasi', 'jebud', 'parah', 'beli', 'tiket', 'pesawat', 'harga', 'juta', 'pas', 'refund', 'hilang', 'duitnya', 'aplikasi', 'asuuuuu']",aplikasi jebud parah beli tiket pesawat harga juta pas refund hilang duit aplikasi asuuuuu
"Saya kasih bintang 3 dulu untuk app pembaruan. Saya bingung kenapa harga tiket yang ingin saya beli bisa menjadi 2x lipat saat final transaksi ya. Misalnya harga tiket 900rb bisa menjadi 1,7jt saat checkout. Tolong dijelaskan, saya merasa sangat dirugikan klu transaksi nya diluar hitungan seperti itu.",Saya kasih bintang  dulu untuk app pembaruan  Saya bingung kenapa harga tiket yang ingin saya beli bisa menjadi x lipat saat final transaksi ya  Misalnya harga tiket rb bisa menjadi  jt saat checkout  Tolong dijelaskan  saya merasa sangat dirugikan klu transaksi nya diluar hitungan seperti itu ,saya kasih bintang  dulu untuk app pembaruan  saya bingung kenapa harga tiket yang ingin saya beli bisa menjadi x lipat saat final transaksi ya  misalnya harga tiket rb bisa menjadi  jt saat checkout  tolong dijelaskan  saya merasa sangat dirugikan klu transaksi nya diluar hitungan seperti itu ,saya kasih bintang dulu untuk aplikasi pembaruan saya bingung kenapa harga tiket yang ingin saya beli bisa menjadi kali lipat saat final transaksi ya misalnya harga tiket ribu bisa menjadi juta saat checkout tolong dijelaskan saya merasa sangat dirugikan kalau transaksi nya diluar hitungan seperti itu,"['saya', 'kasih', 'bintang', 'dulu', 'untuk', 'aplikasi', 'pembaruan', 'saya', 'bingung', 'kenapa', 'harga', 'tiket', 'yang', 'ingin', 'saya', 'beli', 'bisa', 'menjadi', 'kali', 'lipat', 'saat', 'final', 'transaksi', 'ya', 'misalnya', 'harga', 'tiket', 'ribu', 'bisa', 'menjadi', 'juta', 'saat', 'checkout', 'tolong', 'dijelaskan', 'saya', 'merasa', 'sangat', 'dirugikan', 'kalau', 'transaksi', 'nya', 'diluar', 'hitungan', 'seperti', 'itu']","['kasih', 'bintang', 'aplikasi', 'pembaruan', 'bingung', 'harga', 'tiket', 'beli', 'kali', 'lipat', 'final', 'transaksi', 'ya', 'harga', 'tiket', 'ribu', 'juta', 'checkout', 'tolong', 'dirugikan', 'transaksi', 'nya', 'diluar', 'hitungan']",kasih bintang aplikasi baru bingung harga tiket beli kali lipat final transaksi ya harga tiket ribu juta checkout tolong rugi transaksi nya luar hitung
"penipuan pihal traveloka, limit dan pengajuan paylater disetujui tapi tidak bisa digunakan",penipuan pihal traveloka  limit dan pengajuan paylater disetujui tapi tidak bisa digunakan,penipuan pihal traveloka  limit dan pengajuan paylater disetujui tapi tidak bisa digunakan,penipuan pihak traveloka limit dan pengajuan paylater disetujui tapi tidak bisa digunakan,"['penipuan', 'pihak', 'traveloka', 'limit', 'dan', 'pengajuan', 'paylater', 'disetujui', 'tapi', 'tidak', 'bisa', 'digunakan']","['penipuan', 'traveloka', 'limit', 'pengajuan', 'paylater', 'disetujui']",tipu traveloka limit aju paylater tuju
keep up for the job well done,keep up for the job well done,keep up for the job well done,keep up for the job well done,"['keep', 'up', 'for', 'the', 'job', 'well', 'done']","['keep', 'up', 'for', 'the', 'job', 'well', 'done']",keep up for the job well done
Traveloka memang top jd lebih mudah untuk urusan bepergian responnya cepat,Traveloka memang top jd lebih mudah untuk urusan bepergian responnya cepat,traveloka memang top jd lebih mudah untuk urusan bepergian responnya cepat,traveloka memang top jadi lebih mudah untuk urusan bepergian responnya cepat,"['traveloka', 'memang', 'top', 'jadi', 'lebih', 'mudah', 'untuk', 'urusan', 'bepergian', 'responnya', 'cepat']","['traveloka', 'top', 'mudah', 'urusan', 'bepergian', 'responnya', 'cepat']",traveloka top mudah urus pergi responnya cepat
traveloka terbaik,traveloka terbaik,traveloka terbaik,traveloka terbaik,"['traveloka', 'terbaik']","['traveloka', 'terbaik']",traveloka baik
Pelayanan cepat.,Pelayanan cepat ,pelayanan cepat ,pelayanan cepat,"['pelayanan', 'cepat']","['pelayanan', 'cepat']",layan cepat
g😝``¢¶¶`🤩🥲😜😢😜z#wz🙏,g      z wz,g      z wz,tidak saja wz,"['tidak', 'saja', 'wz']",['wz'],wz
top,top,top,top,['top'],['top'],top
mudah dan murah,mudah dan murah,mudah dan murah,mudah dan murah,"['mudah', 'dan', 'murah']","['mudah', 'murah']",mudah murah
puasssss,puasssss,puasssss,puas,['puas'],['puas'],puas
saat ini ok lah👍,saat ini ok lah,saat ini ok lah,saat ini ok lah,"['saat', 'ini', 'ok', 'lah']",['ok'],ok
"Aplikasi Jahat, saya tidak cari aplikasi ini, saya ketik 5+ kali munculnya traveloka melulu, sangat nengganggu, saya sudah lama berlanghanan traveloka, kali ini saya sangat kecewa, karena mengganggu pencarian saya.",Aplikasi Jahat  saya tidak cari aplikasi ini  saya ketik   kali munculnya traveloka melulu  sangat nengganggu  saya sudah lama berlanghanan traveloka  kali ini saya sangat kecewa  karena mengganggu pencarian saya ,aplikasi jahat  saya tidak cari aplikasi ini  saya ketik   kali munculnya traveloka melulu  sangat nengganggu  saya sudah lama berlanghanan traveloka  kali ini saya sangat kecewa  karena mengganggu pencarian saya ,aplikasi jahat saya tidak cari aplikasi ini saya ketik kali munculnya traveloka melulu sangat nengganggu saya sudah lama berlanghanan traveloka kali ini saya sangat kecewa karena mengganggu pencarian saya,"['aplikasi', 'jahat', 'saya', 'tidak', 'cari', 'aplikasi', 'ini', 'saya', 'ketik', 'kali', 'munculnya', 'traveloka', 'melulu', 'sangat', 'nengganggu', 'saya', 'sudah', 'lama', 'berlanghanan', 'traveloka', 'kali', 'ini', 'saya', 'sangat', 'kecewa', 'karena', 'mengganggu', 'pencarian', 'saya']","['aplikasi', 'jahat', 'cari', 'aplikasi', 'ketik', 'kali', 'munculnya', 'traveloka', 'melulu', 'nengganggu', 'berlanghanan', 'traveloka', 'kali', 'kecewa', 'mengganggu', 'pencarian']",aplikasi jahat cari aplikasi ketik kali muncul traveloka melulu nengganggu berlanghanan traveloka kali kecewa ganggu cari
sangat mudah,sangat mudah,sangat mudah,sangat mudah,"['sangat', 'mudah']",['mudah'],mudah
"kenapa Tpaylater saya tidak bisa digunakan ya, padahal pembyaran selalu jauh sebelum jatuh tempo",kenapa Tpaylater saya tidak bisa digunakan ya  padahal pembyaran selalu jauh sebelum jatuh tempo,kenapa tpaylater saya tidak bisa digunakan ya  padahal pembyaran selalu jauh sebelum jatuh tempo,kenapa tpaylater saya tidak bisa digunakan ya padahal pembyaran selalu jauh sebelum jatuh tempo,"['kenapa', 'tpaylater', 'saya', 'tidak', 'bisa', 'digunakan', 'ya', 'padahal', 'pembyaran', 'selalu', 'jauh', 'sebelum', 'jatuh', 'tempo']","['tpaylater', 'ya', 'pembyaran', 'jatuh', 'tempo']",tpaylater ya pembyaran jatuh tempo
"Paylater saya di blokir, padahal saya tidak ada hutang cicilan. Malah saya sdh melunasi lebih awal.",Paylater saya di blokir  padahal saya tidak ada hutang cicilan  Malah saya sdh melunasi lebih awal ,paylater saya di blokir  padahal saya tidak ada hutang cicilan  malah saya sdh melunasi lebih awal ,paylater saya di blokir padahal saya tidak ada hutang cicilan malah saya sudah melunasi lebih awal,"['paylater', 'saya', 'di', 'blokir', 'padahal', 'saya', 'tidak', 'ada', 'hutang', 'cicilan', 'malah', 'saya', 'sudah', 'melunasi', 'lebih', 'awal']","['paylater', 'blokir', 'hutang', 'cicilan', 'melunasi']",paylater blokir hutang cicil lunas
"Tampilan pilihan asuransi perjalanan pesawat terbang yang tidak terlihat dengan jelas sehingga kalo tidak jeli pada saat akan membayar, bisa terperangkap dengan membeli asuransi perjalanan. Sangat mengecewakan setelah bertahun-tahun menjadi pelanggan setia Traveloka.",Tampilan pilihan asuransi perjalanan pesawat terbang yang tidak terlihat dengan jelas sehingga kalo tidak jeli pada saat akan membayar  bisa terperangkap dengan membeli asuransi perjalanan  Sangat mengecewakan setelah bertahun tahun menjadi pelanggan setia Traveloka ,tampilan pilihan asuransi perjalanan pesawat terbang yang tidak terlihat dengan jelas sehingga kalo tidak jeli pada saat akan membayar  bisa terperangkap dengan membeli asuransi perjalanan  sangat mengecewakan setelah bertahun tahun menjadi pelanggan setia traveloka ,tampilan pilihan asuransi perjalanan pesawat terbang yang tidak terlihat dengan jelas sehingga kalau tidak jeli pada saat akan membayar bisa terperangkap dengan membeli asuransi perjalanan sangat mengecewakan setelah bertahun tahun menjadi pelanggan setia traveloka,"['tampilan', 'pilihan', 'asuransi', 'perjalanan', 'pesawat', 'terbang', 'yang', 'tidak', 'terlihat', 'dengan', 'jelas', 'sehingga', 'kalau', 'tidak', 'jeli', 'pada', 'saat', 'akan', 'membayar', 'bisa', 'terperangkap', 'dengan', 'membeli', 'asuransi', 'perjalanan', 'sangat', 'mengecewakan', 'setelah', 'bertahun', 'tahun', 'menjadi', 'pelanggan', 'setia', 'traveloka']","['tampilan', 'pilihan', 'asuransi', 'perjalanan', 'pesawat', 'terbang', 'jeli', 'membayar', 'terperangkap', 'membeli', 'asuransi', 'perjalanan', 'mengecewakan', 'bertahun', 'pelanggan', 'setia', 'traveloka']",tampil pilih asuransi jalan pesawat terbang jeli bayar perangkap beli asuransi jalan kecewa tahun langgan setia traveloka
